Journal,language requirements,language requirements notes,language requirements binned,editing services,author guidelines suggest peer review,Authors are recommended in guidelines to suggest reviewers from diverse backgrounds (select no if there are no guidelines),authors suggest diverse reviews binned,guidelines multiple countries,guidelines multiple institutions,guidelines ecr,guidelines gender,guidelines another demographic enthnicity or race,guidelines another demographic other,guidelines to be reviewer,guidelines link publisher,guidelines reviewer specific journal,guidelines social justice,guidelines esl,blind format,journal publish peer reviews,continent,eic_01,eic_02,eic_03,eic_04,eic_05,eic_06,eic_07,eic_08,eic_09,JCR 2020 IF,JIF_bin,JCR 2020 IF sans self citations ,JCR 2020 JCI,Language in JCR,Country based in on JCR,Publisher on JCR,Publisher from JCR but binned by larger company,Publisher major minor,society,Society listed,Society_publisher,First year in JCR,Website URL,Secondary website domain,Notes,Overall Tier Score,Notes on tier scoring,Source
Paddy and Water Environment,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below.""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Double_required,No,Asia,Japan,,,,,,,,,1.517,Low,1.456,0.41,English,Germany,SPRINGER HEIDELBERG,SPRINGER,Major,International Society of Paddy and Water Environment Engineering,Society,Major_Society,2011,https://www.springer.com/journal/10333,https://pawees.net/?page_id=7,"Author guidelines mentioning language are on the Springer website, and the reviewer guidelines are only on the society's website",Tier 3,agricultural but mentions ecological conservation,JCR
PAKISTAN JOURNAL OF BOTANY,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscript should be in English. Avoid the use of passive voice. Manuscript should be checked by Native English speaker.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Pakistan,,,,,,,,,0.972,Low,0.731,0.32,English,PAKISTAN,PAKISTAN BOTANICAL SOC,PAKISTAN BOTANICAL SOC,Minor,Pakistan Botanical Society,Society,Minor_Society,1997,http://www.pakbs.org/pjbot/index.php,,"Publisher is Karachi University Press. There are 2 JCR entries split at 2006/2007, but the publisher/language/country are the same between them. ",Tier 1,,JCR
Pan-American Journal of Aquatic Sciences,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Acceptance will be based on the quality of the science, the appropriateness of the manuscript for our Journal and the quality of the English grammar. Authors whose mother tongue is not English should have their texts revised by a professional translator or an English native speaker colleague, otherwise such manuscript would be rejected.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,South America,Uruguay,,,,,,,,,NA,NA,NA,NA,NA,NA,PANAMJAS,PANAMJAS,Minor,NA,Not_society,Minor_Not_society,Not in JCR,https://panamjas.org/,,"The journal is not JCR indexed. The journal seems to be based in Latin America and self published, but there isn't a specific editorial office/publisher on there. They publish abstracts in English/Spanish/Portuguese but require articles to be in English. They say, ""Anonymity for both authors and reviewers will be preserved"" for peer review but do include author names in the list of things to have in the manuscript. I inferred double-blind based on the anonymity statement. ",Tier 2,,"Original list (publisher, personal knowledge)"
PeerJ,Other (describe in adjacent column),"""Please use clear, unambiguous, technically and grammatically correct English.""",7,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,Yes,Unclear,NA,,,,,,,,,2.984,Low,2.873,0.51,English,United Kingdom,PEERJ INC,PEERJ INC,Minor,NA,Not_society,Minor_Not_society,2014,https://peerj.com/,,PeerJ is actually a collection of several journals. Their Life and Environment Journal is probably what we would foucs on. There isn't an editor-in-chief listed and every journal/section of the journal has different editors.,Tier 2,,"Original list (publisher, personal knowledge)"
"Perspectives in Plant Ecology, Evolution and Systematics","Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Single,No,Unclear,Switzerland,United States,Germany,Germany,Germany,United States,United States,Germany,,3.634,Mid,3.574,3.574,English,Germany,ELSEVIER GMBH,ELSEVIER,Major,NA,Not_society,Major_Not_society,2003,https://www.journals.elsevier.com/perspectives-in-plant-ecology-evolution-and-systematics,,,Tier 1,,"Original list (publisher, personal knowledge)"
Philippine Journal of Systematic Biology,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""The manuscript must be written in English following Standard English grammar. Authors are encouraged to have their manuscript checked for grammatical errors by an English editor before submission.""",6,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Asia,Japan,,,,,,,,,NA,NA,NA,NA,English,PHILIPPINES,ASSOCIATION OF SYSTEMATIC BIOLOGISTS OF THE PHILIPPINES,ASSOCIATION OF SYSTEMATIC BIOLOGISTS OF THE PHILIPPINES,Minor,Associaton of Systemic Biologists of the Philippines,Society,Minor_Society,Not in JCR,https://asbp.org.ph/journals/,,,Tier 1,,"Original list (publisher, personal knowledge)"
Philosophical Transactions of the Royal Society B,Offers editing but doesn't strongly suggest or recommend that people use it,"""Language editing services provide professional editing of manuscripts prior to submission. Authors are encouraged to use language editing services if needed, but the Royal Society does not take responsibility for or endorse these services, and their use has no bearing on acceptance of a manuscript for publication. The Royal Society has negotiated a discount with certain services for its authors - find out how to claim this here.""",4,Partial waivers available,Yes,Yes,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Single,No,Europe,United Kingdom,,,,,,,,,6.238,Mid,6.163,1.48,English,United Kingdom,ROYAL SOC,ROYAL SOCIETY PUBLISHING,Minor,The Royal Society,Society,Minor_Society,1997,https://royalsocietypublishing.org/journal/rstb,,Two JCR entries split at 2005/2006 but the publisher/country/language are the same between them,Tier 2,,"Original list (publisher, personal knowledge)"
PHYCOLOGIA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors not proficient in English should have their manuscripts checked by a competent English speaker before submission.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Unclear,Portugal,,,,,,,,,2.857,Low,2.579,0.86,Multi-Language,United States,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,NA,Not_society,Major_Not_society,2000,https://www.tandfonline.com/journals/uphy20,,,Tier 3,"algae, mentions systematics",JCR
PHYCOLOGICAL RESEARCH,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design - so you can submit your manuscript with confidence.""

Also, check out our resources for Preparing Your Article for general guidance about writing and preparing your manuscript.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Double_required,No,Asia,Japan,Japan,,,,,,,,1.675,Low,1.519,0.59,English,JAPAN,WILEY,WILEY,Major,Japanese Society of Phycology,Society,Major_Society,2006,https://onlinelibrary.wiley.com/journal/14401835,,,Tier 3,,JCR
PHYSIOLOGIA PLANTARUM,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Manuscripts are accepted in British or American English as long as usage is consistent throughout the manuscript. If you have concerns about English usage, please consider getting professional help with language editing before submission. One option is the Wiley editing service. A clear presentation of your paper and good usage of English are very important to ensure that your scientific message is clear and fully understandable. This will significantly increase your chances to be published.""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Europe,United Kingdom,,,,,,,,,4.5,Mid,4.179,1.48,English,DENMARK,WILEY,WILEY,Major,Scandinavian Plant Physiology Society,Society,Major_Society,1997,https://onlinelibrary.wiley.com/journal/13993054,,,Tier 1,,JCR
Phytobiomes Journal,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Papers will be rejected prior to review if the quality of English is insufficient to enable peer review. For those who need assistance, APS has partnered with Charlesworth Author Services, which offers English academic editing and proofreading services. Charlesworth also provides translation services and ensures that manuscripts effectively and accurately communicate the science in correct English. Charlesworth turnaround times range from two to six days, depending on author preference. Receive 10 percent off all services through this link: https://www.cwauthors.com/aps.""",6,Partial waivers available,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Northern America,United States,,,,,,,,,3.643,Mid,3.411,0.98,English,United States,AMER PHYTOPATHOLOGICAL SOC,AMER PHYTOPATHOLOGICAL SOC,Minor,The American Phytopathological Society,Society,Minor_Society,2020,https://apsjournals.apsnet.org/journal/pbiomes,,,Tier 1,,JCR
Phytochemistry Letters,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,Yes,3,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Single,No,Unclear,United Kingdom,,,,,,,,,1.679,Low,1.586,0.56,English,NETHERLANDS,ELSEVIER,ELSEVIER,Major,Phytochemical Society of Europe,Society,Major_Society,2008,https://www.journals.elsevier.com/phytochemistry-letters,,,Tier 1,,JCR
PHYTOCOENOLOGIA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts must be written in English language (either British or American throughout). Authors not using their mother tongue are strongly advised to have the text revised by a native speaker before submission.""",6,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Europe,Germany,Germany,,,,,,,,2.087,Low,2.065,0.52,Multi-Language,Germany,GEBRUDER BORNTRAEGER,GEBRUDER BORNTRAEGER,Minor,International Association for Vegetation Science,Society,Minor_Society,1997,https://www.schweizerbart.de/journals/phyto/subscriptioninfo,,,Tier 1,,JCR
PhytoKeys,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors are required to have their manuscripts edited by a native English speaker or professional English language editor BEFORE submission. Authors have to confirm by checking a tick box in the submission process that they have followed the above requirement:  The text is checked by a native English speaker, or professional English language editor, duly acknowledged in the manuscript. I am aware that non-edited manuscripts could be rejected prior to peer-review"".

The submission process includes an option to request a professional linguistic and copy editing at a price of EURO 15 per 1800 characters:

The authors are NOT obliged to use Journal's linguistic services, but they must ensure that their manuscripts have passed a proper linguistic editing before submission.""",6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Unclear,United States,United Kingdom,,,,,,,,1.635,Low,1.323,0.47,English,BULGARIA,PENSOFT PUBLISHERS,PENSOFT PUBLISHERS,Minor,NA,Not_society,Minor_Not_society,2014,https://phytokeys.pensoft.net/,,Encourages reviewers to sign their name for open review,Tier 1,,JCR
PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTAL BOTANY,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""All papers must be written in English, and follow a clear, concise style. The language editors may have to check the language and grammar of your submitted manuscript, and make editorial changes if deemed necessary. f you are an author whose native language is not English—or you have any concerns regarding the language quality of your manuscript—we recommend having your manuscript professionally edited by a qualified English-speaking researcher in your field prior to submission. The following is TSP's collaborating language-editing company which offering discounted services to TSP's authors. To be noticed that the use of any language-editing services does not guarantee acceptance to any TSP Journal.""",6,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Unclear,Argentina,China,,,,,,,,1.039,Low,0.87,0.25,Multi-Language,United States,TECH SCIENCE PRESS,TECH SCIENCE PRESS,Minor,NA,Not_society,Minor_Not_society,1997,https://www.techscience.com/journal/phyton,,,Tier 1,,JCR
PHYTOPARASITICA,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts should be written in clear, concise, and grammatically correct English. British or American English spelling and terminology should be used, but either one should be followed consistently throughout the article. All submitted articles MUST be checked and corrected by a Professional, Native-English Language Editor adept in Scientific Proof-reading, OR by an English language editing company specifically dealing in these matters, before submission.""",6,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Unclear,Israel,Portugal,,,,,,,,1.439,Low,1.341,0.5,English,ISRAEL,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/12600,,,Tier 1,,JCR
Plankton & Benthos Research,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""It is strongly recommended that, before submission, they be checked by native English speaker(s) or professional language editing services if the author/s is/are not native English speaker(s).""",6,Journal doesn't mention language editing,Optional,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Japan,,,,,,,,,0.623,Low,0.574,0.29,English,JAPAN,PLANKTON SOC JAPAN,PLANKTON SOCIETY OF JAPAN,Minor,The Plankton Society of Japan,Society,Minor_Society,2017,http://www.plankton.jp/PBR/,,,Tier 3,,JCR
Plant and Soil,Other (describe in adjacent column),"""Plant and Soil requires all manuscripts to be ‘internally reviewed’ prior to submission by a third party from the authors’ own institution or from another institution (please note that this excludes co-authors and English language editors). During online submission of their manuscript, the authors will be asked to name this third party. Any manuscript that does not meet this requirement will not be considered for publication and returned to the author."" Also points to Springer editing services",7,Authors pay for editing,Yes,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Unclear,Australia,,,,,,,,,4.192,Mid,3.881,1.29,English,NETHERLANDS,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/11104/?gclid=CjwKCAiAnO2MBhApEiwA8q0HYcsBUlIBd7zcqjjsTovMl7eWER0NKJKoa1XqbFWkH3sHAbJB0WOE1BoC2rEQAvD_BwE,,EIC also associated with university in China - both countries listed as affiliations on journal webpage. Just listed Australia her,Tier 3,,"Original list (publisher, personal knowledge)"
PLANT BIOLOGY,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""      ",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Europe,Germany,Netherlands,,,,,,,,3.081,Mid,2.968,0.93,English,Germany,WILEY,WILEY,Major,German Society for the Plant Sciences and the Royal Dtuch Botanical Society,Society,Major_Society,1999,https://onlinelibrary.wiley.com/journal/14388677,,,Tier 1,,JCR
PLANT BIOSYSTEMS,Offers editing but doesn't strongly suggest or recommend that people use it,"""To help you improve your manuscript and prepare it for submission, Taylor & Francis provides a range of editing services. Choose from options such as English Language Editing, which will ensure that your article is free of spelling and grammar errors, Translation, and Artwork Preparation.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Italy,,,,,,,,,2.842,Low,2.386,0.7,English,ITALY,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,The Italian Botanical Society,Society,Major_Society,2003,https://www.tandfonline.com/journals/tplb20,,,Tier 1,,JCR
Plant Diversity,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Asia,China,,,,,,,,,2.528,Low,2.389,0.59,English,China,KEAI PUBLISHING LTD,ELSEVIER,Major,Botanical Society of China,Society,Major_Society,2019,https://www.keaipublishing.com/en/journals/plant-diversity/,,"Listed as KEAI in JCR, and ""Elsevier and Chinese Science Publishing and Media Ltd. (CSPM) — China's largest STM publisher and the publishing arm of the Chinese Academy of Sciences — came together in 2007 to form a joint venture: KeAi."" The author guidelines follow the basic Elsevier template and include an inclusive language section. ",Tier 1,,JCR
Plant Ecology,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below.""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Australia,United States,,,,,,,,1.859,Low,1.805,0.6,English,NETHERLANDS,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/11258,,,Tier 3,,"Original list (publisher, personal knowledge)"
Plant Ecology & Diversity,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Authors whose first language is not English are recommended to ensure that their manuscript is suitable/professionally edited before submission to allow reviewers to assess the scientific value of the submission (without being distracted by imprecise language / expression). The Editor may request a language revision before peer review. In addition, every author is responsible for providing and final manuscript that includes the revisions made as a result of the peer review and to present the paper in impeccable English. The Editors no longer undertake language improvements.""",6,Authors pay for editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Double_required,No,Europe,Brazil,,,,,,,,,2.606,Low,2.561,0.47,English,United Kingdom,TAYLOR & FRANCIS LTD,TAYLOR AND FRANCIS,Major,The Botanical Society of Edinburgh,Society,Major_Society,2010,https://www.tandfonline.com/journals/tped20,,,Tier 1,,JCR
Plant Ecology and Evolution,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""The journal publishes original scientific research in English (British spelling – Oxford English Dictionary). The authors should make sure that the academic content of the paper can be fully understood and they are encouraged to have their manuscript checked for language. Submissions in French might be considered in exceptional circumstances. These submissions should be by African researchers and deal with tropical African botany. Ideally, they should also deal with a topic that is of interest to a wider audience. The authors are however encouraged to seek help to publish in English in order to increase the potential impact of their research.""",6,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,No,No,No,No,No,Single,No,Europe,Belgium,,,,,,,,,1.366,Low,1.268,0.4,English,BELGIUM,SOC ROYAL BOTAN BELGIQUE,ROYAL BOTANICAL SOCIETY OF BELGIUM,Minor,Royal Botanical Society of Belgium,Society,Minor_Society,1997,https://www.plecevo.eu/index.php/plecevo,,Changed names from Belgian Journal of Botany to Plant Ecology and Evolution at the end of 2009. JCR changed the language from Mulit-language to English with the transition. ,Tier 1,,JCR
PLANT PATHOLOGY,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,Optional,No,2,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Single,No,Europe,United Kingdom,,,,,,,,,2.59,Low,2.387,0.96,English,United Kingdom,WILEY,WILEY,Major,British Society for Plant Pathology,Society,Major_Society,1997,https://bsppjournals.onlinelibrary.wiley.com/journal/13653059,,,Tier 3,"""physiological, biochemical, molecular, ecological, genetic and ecoNomic aspects of plant pathology""",JCR
Plant Root,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Manuscripts must be written in clear and comprehensible English. If English is not your first language, or if you have concerns about the level of English in your submission, please ensure that the manuscript is proofread by a native English speaker or a scientific editing service for correct usage and clarity before submission.""",6,Journal doesn't mention language editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Assumed_single,No,Asia,Japan,Japan,Japan,Japan,,,,,,NA,NA,NA,0.2,English,JAPAN,JAPANESE SOC ROOT RESEARCH-NE KENKYUUKAI,JAPANESE SOC ROOT RESEARCH-NE KENKYUUKAI,Minor,Japanese Society for Root Research,Society,Minor_Society,2020,http://www.plantroot.org/,https://www.jstage.jst.go.jp/browse/plantroot/,First year in JCR is 2020 so no impact factor is available,Tier 1,,JCR
PLANT SCIENCE,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""Please write your text in good English (American or British usage is accepted, but not a mixture of these). Authors who feel their English language manuscript may require editing to eliminate possible grammatical or spelling errors and to conform to correct scientific English may wish to use the English Language Editing service available from Elsevier's Author Services.""",5,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Northern America,United States,United States,China,France,,,,,,4.729,Mid,4.583,1.06,English,IRELAND,ELSEVIER IRELAND LTD,ELSEVIER,Major,NA,Not_society,Major_Not_society,1997,https://www.journals.elsevier.com/plant-science,,,Tier 3,"Includes, ""interaction of plants with the environment"" but Not explicitly eco/evo focused",JCR
PLANT SPECIES BIOLOGY,Offers editing but doesn't strongly suggest or recommend that people use it,"""Wiley Editing Services offers expert help with English Language Editing, as well as translation, manuscript formatting, figure illustration, figure formatting, and graphical abstract design – so you can submit your manuscript with confidence.""",4,Authors pay for editing,No,No,1,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,No,Asia,Japan,,,,,,,,,1.528,Low,1.083,0.49,English,JAPAN,WILEY,WILEY,Major,The Society for the Study of Species Biology,Society,Major_Society,2007,https://esj-journals.onlinelibrary.wiley.com/journal/14421984,,,Tier 1,,JCR
Plant Systematics and Evolution,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below.""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Germany,Czech Republic,Slovakia,,,,,,,1.631,Low,1.47,0.48,English,AUSTRIA,SPRINGER WIEN,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/606,,,Tier 3,,"Original list (publisher, personal knowledge)"
PLANTA,"Mentions authors need to use ""good English"" and points to fee-for-service editing","""For editors and reviewers to accurately assess the work presented in your manuscript you need to ensure the English language is of sufficient quality to be understood. If you need help with writing in English you should consider:
Getting a fast, free online grammar check.
Asking a colleague who is proficient in English to review your manuscript for clarity.
Visiting the English language tutorial which covers the common mistakes when writing in English.
Using a professional language editing service where editors will improve the English to ensure that your meaning is clear and identify problems that require your review. Two such services are provided by our affiliates Nature Research Editing Service and American Journal Experts. Springer authors are entitled to a 10% discount on their first submission to either of these services, simply follow the links below.""",5,Authors pay for editing,Optional,Yes,3,Yes,Yes,No,No,No,No,No,No,No,No,No,Single,No,Europe,Germany,United States,,,,,,,,4.116,Mid,4.016,1.15,English,Germany,SPRINGER,SPRINGER,Major,NA,Not_society,Major_Not_society,1997,https://www.springer.com/journal/425,,,Tier 1,"Includes ""ecological physiology""",JCR
Planta Daninha (2021) / Advances in Weed Science (2022),"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""Articles must be submitted in English. If the author’s native language is not English, the quality of scientific writing in English must be certified by a verified editorial certificate provided by a professional service; alternatively, if the authors have experience in scientific writing in English (e.g., native speaker, proficiency certificate, the graduate diploma obtained in an English-speaking institution, and other proof of English skills), they need to include a statement stating that in the cover letter. The contacts below are suggestions of companies that provide English translation or editing of manuscripts in weed science.""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,No,No,No,No,No,Single,No,South America,Brazil,Brazil,United States,Brazil,,,,,,0.705,Low,0.607,0.17,Portuguese,BRAZIL,UNIV FEDERAL VICOSA,UNIVERSITY FEDERAL VICOSA,Minor,Brazilian Weed Science Society,Society,Minor_Society,2009,https://awsjournal.org/,,"Changed name to Advances in Weed Science between 2021 and 2022, but the new name is not yet indexed. I took information from the Planta Daninha JCR page. ",Tier 3,Current webpage with Aims and Scope here: https://www.scielo.br/journal/aws/about/#about.,JCR
Plants,"Requires or strongly advices ESL authors to pay for editing prior to submission (or have colleagues edit, etc.) (least progressive policies)","""To facilitate proper peer-reviewing of your manuscript, it is essential that it is submitted in grammatically correct English. Advice on some specific language points can be found here. If you are not a native English speaker, we recommend that you have your manuscript professionally edited before submission or read by a native English-speaking colleague. This can be carried out by MDPI's English editing service. Professional editing will enable reviewers and future readers to more easily read and assess the content of submitted manuscripts. All accepted manuscripts undergo language editing, however an additional fee will be charged to authors if very extensive English corrections must be made by the Editorial Office: pricing is according to the service here."" Not required, but will charge a fee if ""extensive English corrections must be made by the Editorial Office""",6,Authors pay for editing,Yes,No,2,No,No,No,No,No,No,Yes,Yes,No,No,No,Single,Yes,Unclear,Canada,,,,,,,,,3.935,Mid,3.396,0.95,English,SWITZERLAND,MDPI,MDPI,Minor,NA,Not_society,Minor_Not_society,2018,https://www.mdpi.com/journal/plants,,"""The journal operates optional open peer-review: Authors are given the option for all review reports and editorial decisions to be published alongside their manuscript. In addition, reviewers can sign their review, i.e., identify themselves in the published review reports."" Appears to be consistent across MDPI journals. ",Tier 1,,"Original list (publisher, personal knowledge)"
PLoS Biology,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be submitted in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Northern America,United Kingdom,,,,,,,,,8.029,Mid,7.927,1.96,English,United States,PUBLIC LIBRARY SCIENCE,PLOS,Minor,NA,Not_society,Minor_Not_society,2004,https://journals.plos.org/plosbiology/,,,Tier 2,,"Original list (publisher, personal knowledge)"
PLoS Genetics,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be submitted in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Northern America,United States,United States,,,,,,,,5.917,Mid,5.792,1.43,English,United States,PUBLIC LIBRARY SCIENCE,PLOS,Minor,NA,Not_society,Minor_Not_society,2005,https://journals.plos.org/plosgenetics/,,,Tier 2,,"Original list (publisher, personal knowledge)"
PLoS One,No mention of language editing in author guidelines or doesn't have author guidelines,"""Manuscripts must be submitted in English.""",1,Journal doesn't mention language editing,No,No,1,No,No,No,No,No,No,Yes,No,Yes,No,No,Single,No,Northern America,United States,,,,,,,,,3.24,Mid,3.116,0.57,English,United States,PUBLIC LIBRARY SCIENCE,PLOS,Minor,NA,Not_society,Minor_Not_society,2005,https://journals.plos.org/plosone/,,,Tier 2,,"Original list (publisher, personal knowledge)"
